"Strain"	"Dose"	"Time"	"OD"
"aro4Δ"	1.2	16	0.0341
"aro4Δ"	1.5	16	0.025333333
"WT"	0	16	0.544233333
"WT"	0.1	16	0.703733333
"WT"	0.3	16	0.814433333
"WT"	0.6	16	0.831033333
"WT"	0.9	16	0.900133333
"WT"	1.2	16	0.869733333
"WT"	1.5	16	0.8634
"aro4Δ"	0	16.5	0.460166667
"aro4Δ"	0.1	16.5	0.1916
"aro4Δ"	0.3	16.5	0.117566667
"aro4Δ"	0.6	16.5	0.084366667
"aro4Δ"	0.9	16.5	0.052266667
"aro4Δ"	1.2	16.5	0.038166667
"aro4Δ"	1.5	16.5	0.0281
"WT"	0	16.5	0.621666667
"WT"	0.1	16.5	0.7929
"WT"	0.3	16.5	0.902266667
"WT"	0.6	16.5	0.9215
"WT"	0.9	16.5	0.992966667
"WT"	1.2	16.5	0.9642
"WT"	1.5	16.5	0.960966667
"aro4Δ"	0	17	0.554333333
"aro4Δ"	0.1	17	0.233333333
"aro4Δ"	0.3	17	0.139666667
"aro4Δ"	0.6	17	0.100666667
"aro4Δ"	0.9	17	0.060933333
"aro4Δ"	1.2	17	0.043433333
"aro4Δ"	1.5	17	0.031833333
"WT"	0	17	0.705333333
"WT"	0.1	17	0.883066667
"WT"	0.3	17	0.9918
"WT"	0.6	17	1.013566667
"WT"	0.9	17	1.0872
"WT"	1.2	17	1.057266667
"WT"	1.5	17	1.056766667
"aro4Δ"	0	17.5	0.636133333
"aro4Δ"	0.1	17.5	0.2828
"aro4Δ"	0.3	17.5	0.166333333
"aro4Δ"	0.6	17.5	0.116133333
"aro4Δ"	0.9	17.5	0.069066667
"aro4Δ"	1.2	17.5	0.047366667
"aro4Δ"	1.5	17.5	0.034766667
"WT"	0	17.5	0.786433333
"WT"	0.1	17.5	0.971933333
"WT"	0.3	17.5	1.0796
"WT"	0.6	17.5	1.102266667
"WT"	0.9	17.5	1.1744
"WT"	1.2	17.5	1.1464
"WT"	1.5	17.5	1.144066667
"aro4Δ"	0	18	0.718933333
"aro4Δ"	0.1	18	0.337466667
"aro4Δ"	0.3	18	0.197433333
"aro4Δ"	0.6	18	0.137033333
"aro4Δ"	0.9	18	0.0792
"aro4Δ"	1.2	18	0.052466667
"aro4Δ"	1.5	18	0.0384
"WT"	0	18	0.874666667
"WT"	0.1	18	1.064933333
"WT"	0.3	18	1.1662
"WT"	0.6	18	1.188033333
"WT"	0.9	18	1.257366667
"WT"	1.2	18	1.2294
"WT"	1.5	18	1.2309
"aro4Δ"	0	18.5	0.800733333
"aro4Δ"	0.1	18.5	0.4016
"aro4Δ"	0.3	18.5	0.234966667
"aro4Δ"	0.6	18.5	0.1574
"aro4Δ"	0.9	18.5	0.088
"aro4Δ"	1.2	18.5	0.055566667
"aro4Δ"	1.5	18.5	0.039166667
"WT"	0	18.5	0.9609
"WT"	0.1	18.5	1.1509
"WT"	0.3	18.5	1.237833333
"WT"	0.6	18.5	1.260633333
"WT"	0.9	18.5	1.3276
"WT"	1.2	18.5	1.304433333
"WT"	1.5	18.5	1.3084
"aro4Δ"	0	19	0.8836
"aro4Δ"	0.1	19	0.4753
"aro4Δ"	0.3	19	0.281666667
"aro4Δ"	0.6	19	0.180033333
"aro4Δ"	0.9	19	0.098366667
"aro4Δ"	1.2	19	0.0599
"aro4Δ"	1.5	19	0.041666667
"WT"	0	19	1.043
"WT"	0.1	19	1.221066667
"WT"	0.3	19	1.294933333
"WT"	0.6	19	1.3212
"WT"	0.9	19	1.388266667
"WT"	1.2	19	1.368366667
"WT"	1.5	19	1.375866667
"aro4Δ"	0	19.5	0.967733333
"aro4Δ"	0.1	19.5	0.544933333
"aro4Δ"	0.3	19.5	0.3269
"aro4Δ"	0.6	19.5	0.203833333
"aro4Δ"	0.9	19.5	0.107733333
"aro4Δ"	1.2	19.5	0.062233333
"aro4Δ"	1.5	19.5	0.042066667
"WT"	0	19.5	1.1053
"WT"	0.1	19.5	1.273533333
"WT"	0.3	19.5	1.338866667
"WT"	0.6	19.5	1.3684
"WT"	0.9	19.5	1.4349
"WT"	1.2	19.5	1.420266667
"WT"	1.5	19.5	1.432766667
"aro4Δ"	0	20	1.045633333
"aro4Δ"	0.1	20	0.6145
"aro4Δ"	0.3	20	0.3864
"aro4Δ"	0.6	20	0.2347
"aro4Δ"	0.9	20	0.1204
"aro4Δ"	1.2	20	0.066933333
"aro4Δ"	1.5	20	0.044466667
"WT"	0	20	1.156333333
"WT"	0.1	20	1.313766667
"WT"	0.3	20	1.375666667
"WT"	0.6	20	1.4079
"WT"	0.9	20	1.473533333
"WT"	1.2	20	1.4637
"WT"	1.5	20	1.479866667
"aro4Δ"	0	20.5	1.104033333
"aro4Δ"	0.1	20.5	0.677933333
"aro4Δ"	0.3	20.5	0.4456
"aro4Δ"	0.6	20.5	0.262766667
"aro4Δ"	0.9	20.5	0.130866667
"aro4Δ"	1.2	20.5	0.0676
"aro4Δ"	1.5	20.5	0.043533333
"WT"	0	20.5	1.1956
"WT"	0.1	20.5	1.3465
"WT"	0.3	20.5	1.403033333
"WT"	0.6	20.5	1.436
"WT"	0.9	20.5	1.503333333
"WT"	1.2	20.5	1.496433333
"WT"	1.5	20.5	1.518166667
"aro4Δ"	0	21	1.152033333
"aro4Δ"	0.1	21	0.746266667
"aro4Δ"	0.3	21	0.515033333
"aro4Δ"	0.6	21	0.2966
"aro4Δ"	0.9	21	0.144566667
"aro4Δ"	1.2	21	0.073166667
"aro4Δ"	1.5	21	0.047566667
"WT"	0	21	1.229966667
"WT"	0.1	21	1.375266667
"WT"	0.3	21	1.428633333
"WT"	0.6	21	1.462933333
"WT"	0.9	21	1.530266667
"WT"	1.2	21	1.527466667
"WT"	1.5	21	1.5521
"aro4Δ"	0	21.5	1.1871
"aro4Δ"	0.1	21.5	0.809366667
"aro4Δ"	0.3	21.5	0.579966667
"aro4Δ"	0.6	21.5	0.327566667
"aro4Δ"	0.9	21.5	0.155133333
"aro4Δ"	1.2	21.5	0.075666667
"aro4Δ"	1.5	21.5	0.048133333
"WT"	0	21.5	1.258133333
"WT"	0.1	21.5	1.398766667
"WT"	0.3	21.5	1.448266667
"WT"	0.6	21.5	1.483166667
"WT"	0.9	21.5	1.550233333
"WT"	1.2	21.5	1.550866667
"WT"	1.5	21.5	1.579233333
"aro4Δ"	0	22	1.218366667
"aro4Δ"	0.1	22	0.875733333
"aro4Δ"	0.3	22	0.643566667
"aro4Δ"	0.6	22	0.3593
"aro4Δ"	0.9	22	0.165933333
"aro4Δ"	1.2	22	0.078666667
"aro4Δ"	1.5	22	0.048566667
"WT"	0	22	1.2809
"WT"	0.1	22	1.415833333
"WT"	0.3	22	1.4641
"WT"	0.6	22	1.4991
"WT"	0.9	22	1.565166667
"WT"	1.2	22	1.568366667
"WT"	1.5	22	1.598766667
"aro4Δ"	0	22.5	1.239766667
"aro4Δ"	0.1	22.5	0.9423
"aro4Δ"	0.3	22.5	0.703566667
"aro4Δ"	0.6	22.5	0.3921
"aro4Δ"	0.9	22.5	0.176233333
"aro4Δ"	1.2	22.5	0.081
"aro4Δ"	1.5	22.5	0.0495
"WT"	0	22.5	1.2979
"WT"	0.1	22.5	1.4299
"WT"	0.3	22.5	1.476266667
"WT"	0.6	22.5	1.511733333
"WT"	0.9	22.5	1.577433333
"WT"	1.2	22.5	1.581766667
"WT"	1.5	22.5	1.6145
"aro4Δ"	0	23	1.259966667
"aro4Δ"	0.1	23	1.011433333
"aro4Δ"	0.3	23	0.761066667
"aro4Δ"	0.6	23	0.428666667
"aro4Δ"	0.9	23	0.1878
"aro4Δ"	1.2	23	0.085766667
"aro4Δ"	1.5	23	0.052333333
"WT"	0	23	1.313766667
"WT"	0.1	23	1.444233333
"WT"	0.3	23	1.488766667
"WT"	0.6	23	1.5247
"WT"	0.9	23	1.5894
"WT"	1.2	23	1.595166667
"WT"	1.5	23	1.628533333
"aro4Δ"	0	23.5	1.275
"aro4Δ"	0.1	23.5	1.075533333
"aro4Δ"	0.3	23.5	0.820433333
"aro4Δ"	0.6	23.5	0.461666667
"aro4Δ"	0.9	23.5	0.1993
"aro4Δ"	1.2	23.5	0.089133333
"aro4Δ"	1.5	23.5	0.054266667
"WT"	0	23.5	1.326666667
"WT"	0.1	23.5	1.455133333
"WT"	0.3	23.5	1.499133333
"WT"	0.6	23.5	1.534466667
"WT"	0.9	23.5	1.5984
"WT"	1.2	23.5	1.6059
"WT"	1.5	23.5	1.639333333
"aro4Δ"	0	24	1.286833333
"aro4Δ"	0.1	24	1.127733333
"aro4Δ"	0.3	24	0.8766
"aro4Δ"	0.6	24	0.493433333
"aro4Δ"	0.9	24	0.208466667
"aro4Δ"	1.2	24	0.091366667
"aro4Δ"	1.5	24	0.054633333
"WT"	0	24	1.337166667
"WT"	0.1	24	1.463766667
"WT"	0.3	24	1.5072
"WT"	0.6	24	1.542133333
"WT"	0.9	24	1.605133333
"WT"	1.2	24	1.612866667
"WT"	1.5	24	1.646233333
"aro4Δ"	0	24.5	1.299666667
"aro4Δ"	0.1	24.5	1.178166667
"aro4Δ"	0.3	24.5	0.936466667
"aro4Δ"	0.6	24.5	0.525133333
"aro4Δ"	0.9	24.5	0.2206
"aro4Δ"	1.2	24.5	0.096166667
"aro4Δ"	1.5	24.5	0.0576
"WT"	0	24.5	1.348466667
"WT"	0.1	24.5	1.4733
"WT"	0.3	24.5	1.5154
"WT"	0.6	24.5	1.551
"WT"	0.9	24.5	1.6125
"WT"	1.2	24.5	1.6197
"WT"	1.5	24.5	1.6515
"aro4Δ"	0	25	1.310166667
"aro4Δ"	0.1	25	1.217566667
"aro4Δ"	0.3	25	0.9927
"aro4Δ"	0.6	25	0.555066667
"aro4Δ"	0.9	25	0.2306
"aro4Δ"	1.2	25	0.0999
"aro4Δ"	1.5	25	0.059166667
"WT"	0	25	1.358966667
"WT"	0.1	25	1.481666667
"WT"	0.3	25	1.523566667
"WT"	0.6	25	1.556633333
"WT"	0.9	25	1.6175
"WT"	1.2	25	1.623933333
"WT"	1.5	25	1.654466667
"aro4Δ"	0	25.5	1.3195
"aro4Δ"	0.1	25.5	1.248866667
